"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 15:35:24 GMT 2024","Tue Feb 13 15:35:26 GMT 2024","2176","","User settings tests","","","","should change user lastname",""
"passed","Tue Feb 13 15:35:17 GMT 2024","Tue Feb 13 15:35:24 GMT 2024","7072","","Registration tests","","","","should sign up with valid credentials",""
"passed","Tue Feb 13 15:35:24 GMT 2024","Tue Feb 13 15:35:25 GMT 2024","983","","Login tests","","","","""before each"" hook for Login tests",""
"passed","Tue Feb 13 15:35:21 GMT 2024","Tue Feb 13 15:35:23 GMT 2024","1468","","Bank accounts tests","","","","should create bank account with wrong account number",""
"passed","Tue Feb 13 15:35:21 GMT 2024","Tue Feb 13 15:35:24 GMT 2024","2692","","User settings tests","","","","should change user firstname",""
"passed","Tue Feb 13 15:35:17 GMT 2024","Tue Feb 13 15:35:21 GMT 2024","4658","","Transactions tests","","","","should create new pay transaction",""
"passed","Tue Feb 13 15:35:09 GMT 2024","Tue Feb 13 15:35:17 GMT 2024","8065","","Registration tests","","","","try to sign up without username",""
"passed","Tue Feb 13 15:35:27 GMT 2024","Tue Feb 13 15:35:27 GMT 2024","250","","Transactions tests","","","","""before each"" hook for Transactions tests",""
"passed","Tue Feb 13 15:35:09 GMT 2024","Tue Feb 13 15:35:18 GMT 2024","9514","","Login tests","","","","should login with valid credentials",""
"passed","Tue Feb 13 15:35:17 GMT 2024","Tue Feb 13 15:35:21 GMT 2024","4582","","Bank accounts tests","","","","should create bank account with wrong routing number",""
"passed","Tue Feb 13 15:35:23 GMT 2024","Tue Feb 13 15:35:24 GMT 2024","1151","","Transactions tests","","","","should add comment to transaction",""
"passed","Tue Feb 13 15:35:23 GMT 2024","Tue Feb 13 15:35:24 GMT 2024","1253","","Bank accounts tests","","","","should create new bank account",""
"passed","Tue Feb 13 15:35:21 GMT 2024","Tue Feb 13 15:35:23 GMT 2024","1627","","Transactions tests","","","","should create new request transaction",""
"passed","Tue Feb 13 15:35:09 GMT 2024","Tue Feb 13 15:35:17 GMT 2024","7487","","User settings tests","","","","""before all"" hook for User settings tests",""
"passed","Tue Feb 13 15:35:24 GMT 2024","Tue Feb 13 15:35:29 GMT 2024","4785","","Login tests","","","","should logout",""
"passed","Tue Feb 13 15:35:27 GMT 2024","Tue Feb 13 15:35:27 GMT 2024","625","","Transactions tests","","","","should like transaction",""
"passed","Tue Feb 13 15:35:17 GMT 2024","Tue Feb 13 15:35:21 GMT 2024","4280","","User settings tests","","","","should change user firstname and lastname",""
"passed","Tue Feb 13 15:35:09 GMT 2024","Tue Feb 13 15:35:17 GMT 2024","7689","","Bank accounts tests","","","","""before all"" hook for Bank accounts tests",""
"passed","Tue Feb 13 15:35:18 GMT 2024","Tue Feb 13 15:35:21 GMT 2024","2750","","Login tests","","","","should login with invalid username",""
"passed","Tue Feb 13 15:35:08 GMT 2024","Tue Feb 13 15:35:17 GMT 2024","8948","","Transactions tests","","","","""before all"" hook for Transactions tests",""
"passed","Tue Feb 13 15:35:24 GMT 2024","Tue Feb 13 15:35:25 GMT 2024","1122","","Registration tests","","","","""before each"" hook for Registration tests",""
"passed","Tue Feb 13 15:35:24 GMT 2024","Tue Feb 13 15:35:27 GMT 2024","2741","","Transactions tests","","","","should add another comment to transaction",""
"passed","Tue Feb 13 15:35:24 GMT 2024","Tue Feb 13 15:35:27 GMT 2024","2498","","Bank accounts tests","","","","should delete bank account",""
"broken","Tue Feb 13 15:35:08 GMT 2024","Tue Feb 13 15:35:18 GMT 2024","10673","","Notifications test","","","","should dismiss notification",""
"passed","Tue Feb 13 15:35:21 GMT 2024","Tue Feb 13 15:35:24 GMT 2024","3006","","Login tests","","","","should login with invalid password",""
"passed","Tue Feb 13 15:35:24 GMT 2024","Tue Feb 13 15:35:27 GMT 2024","2827","","Registration tests","","","","should sign up with wrong confirmed password",""
"passed","Tue Feb 13 15:35:24 GMT 2024","Tue Feb 13 15:35:24 GMT 2024","191","","User settings tests","","","","""before each"" hook for User settings tests",""
"passed","Tue Feb 13 15:35:24 GMT 2024","Tue Feb 13 15:35:24 GMT 2024","343","","Bank accounts tests","","","","""before each"" hook for Bank accounts tests",""
